shstReferenceId,min_lanes,max_lanes,oneWay
011b0bd136509849c00a594691ca21c9,2,2,False
011b1c28a29473dcd4d4f13d7ac5625c,3,3,"[True, True]"
011c1615cd8d4a45fc896eed2f635993,1,1,True
011c4e50f2515fb7c44be3b7f0612cef,2,2,False
011cd4c8b67122fcb6dae404cb16ccf4,2,2,False
011dad557d7f3d134fa524e5f5767b00,2,2,False
011e6fdbbad51b578bbe9885b16d923b,3,3,True
011ee0182b65999be4d878858ece2990,2,2,False
011f8735a179f312a7cf7ce118d9f8cd,2,2,True
01223903c924627ddc51a95d7955b345,2,2,"[False, False]"
0122f0b67071a88c4ee372d926eb59c4,3,3,True
0123613d586311e517268cc125699c24,2,4,"[True, True, True]"
012389cddfb24f0b91a36f47a1072e66,3,3,True
01240636e3a3b77b68bbe2fa1018ae44,4,4,True
01248bbf4c897c845921a9c93c8d609d,3,3,True
012548a2f8ae7e800819091f40723f68,2,2,False
0125f64dacb5890026ba3975ef899bd6,2,2,False
0126b0950694ec0741042b25917ad5af,2,2,False
012794a66ea04cafa8c86afe5af79c7c,2,2,True
012851b3c06e275e4e56741d99d98371,2,3,"[False, False]"
0128b72a8098bc4c28daaa64f5ce521b,5,5,False
012a7ba8a74b05cb6774da63fae78940,3,3,True
012a91f9c20e6edab57a399fe4d888a5,5,5,False
012b23fdab8e0abc9433f16af05eb49d,2,2,True
012bd0300e8b83faa1cced6f47708558,2,2,True
012c1db17d42fd633fe8205ed7329b8b,1,1,True
012c85b297a4737048bb246b78e68d17,2,2,False
012ddbfe15f7ae204012b7670ee0c926,2,2,True
012e287cfbaea10afc2d8f05c8b7e49b,2,2,True
012e3119986c5b11d1d33f50cf7cb95d,3,3,True
012f9a1eb902c36a8839aa08f567dba0,4,4,"[True, True]"
013035ff4a0350c83dbce3c56bd0b4bd,2,2,False
0130427ad5aa932025d8debe1f7e8fe9,2,2,"[True, True]"
013060431c3cd864237c5684d5f9b353,2,2,True
0131848729d9353c3bc45205058afb31,2,2,False
0132662d36645ba411e5399e5a8ee611,2,2,"[True, True]"
0133031ca69b1112656cd8d7c717fed2,2,2,False
01332fcc1d42ad4de71d2b4a0394f74f,2,2,True
01333e4e269635bb3ce912a468c9261b,3,3,True
013438a9019acc2a15f16c53099e3f07,2,2,False
01349bb6571491a171b2dc86d204e278,2,2,False
013539ad8f0f05ae2a14526b3fae7143,1,1,True
0135ee31205c672d56446401f42b75b1,2,2,True
013606fa34090eabae3a460d85271a23,2,2,False
013658f4d02d8c54b5c8067a5ea7bb80,2,2,False
013736569bfd6675db15bba267b97c04,2,2,True
013751911269f3ccfae52119fd022c51,4,4,False
0137d6328eaf5ddf3f1e98876f2a76b7,2,2,False
013a9d7accb764d4da50f0c1afecc9f1,2,2,False
013b4ab5cba4726322f8405ad80a2968,2,2,False
013ccbcdf056a6917db8fafb95fcfc22,3,3,True
013ce99991fdd3f00c5c50929d5b6907,4,5,"[True, True]"
013f6f4b07c9e3140a2cd470f23a8f3e,2,2,False
014004d532d57a9c70435a32fdac7ef2,5,5,False
0140277883a0c3b102c4584412937e45,2,2,True
014104033f46bb3af63ef4557164f2f5,3,3,"[True, True]"
0141448eba10c291b66622f94446d879,2,2,True
0143edabc245638ea08e006bf7475a15,1,1,True
0144e4b10e043bfc6d79313d6b1c5b8b,2,2,False
014557b3263d3e282c916d9e03ae0c32,3,3,True
0145da549b80a574d4cf0398a230ecdb,2,2,False
01463496fea678d56f73501861493a28,2,3,"[True, True]"
01467ca8669a9dca282481c6067f419f,2,2,False
01477a092c4069a36d2ebe4ddc11c00b,4,4,False
0147b3367c1de250092460a0cffa717c,2,4,"[True, True, True]"
0147d64a05b15f21917684846e36c288,2,2,False
0147d94a19ecab3d274959f271d4a081,2,2,True
0148b9ba11fe46c528d249cba045ae13,3,4,"[True, True]"
0149deb78fd38e8fae111788e7e1be28,2,2,False
014aca5c2cb443d603e5a18a14d87c1f,2,2,False
014b159a4b061630f2f368c795de8600,2,2,False
014b44ab978bc68551db01c58a328a0f,2,3,"[True, True]"
014bc6a142a78c5a6515eb6017c722f4,2,2,False
014c1efb96bec3db363c23467e749ec0,1,1,True
014c2391b71670d795d92ff9cee91bf6,2,2,False
014c50cbd0c412b3f4e3cce95e189b02,5,5,"[False, False]"
014cda3171795d1d29d2547e2a44e092,4,5,"[False, False]"
014cdd8e76a34ab0e6a7550227095dc5,4,4,False
014d29f8036e701389b2219ea2c087e6,2,2,"[False, False]"
014f12bd41c0f24634c9f6f7c54d11c5,2,2,False
014f4b1f582e7acb3445e7cd0aa6dc26,2,2,False
015056736dd5c6e0e01218f24e977ec7,2,2,"[True, True, True]"
015064e9f1a967d189cf74f163578312,3,3,"[True, True, True]"
015071ce573897284b5faf7877319f69,2,2,False
01507d7070becc8ea7b74f72cf931c7a,3,3,"[False, False]"
0150d1e347a51a6b269d3f5f0160f45f,4,4,False
01513aaffbb8463f2c54d3dfec1408d6,1,1,True
01514c2be01a18df65bbd393e508a285,2,2,False
0151a20970c63c31f170fbd4358a93d8,1,4,"[True, True, True, True]"
015373246b2d04c6a01a27fba0f50ab4,2,3,"[True, True]"
0153c8729186832fe97a6ae8c45228bb,5,5,False
015400cee58a5bcf22d8ad9512ec6df0,2,2,True
01550a734a24f1d62f13a7dc2f65623a,2,2,False
01567a6f5823cfc01d3d8c000a667f81,4,4,False
015756e2a2ec2cbf6560411bca0f2e72,4,4,False
015963290b87c665bc72f311756fd089,2,2,False
015a2329cb9fc086757d2129756a32ae,1,1,True
